Job Title,Company Name,Company Location,Skills,Seniority Level,Industry,Employment Type,Job Functions
Director of Inventory Planning,Abbyson,"Moorpark, California","Product Assortment Planning,Microsoft Excel,Analytical Skills,Category Management,,,,,,,",N/A,,,N/A
ASIC Design Verification Engineer,Samsung Electronics America,"San Jose, California","Universal Verification Methodology (UVM),Verdi,System Architects,,,,,,,,",,",",,
Corporate Counsel,SMART Modular Technologies,N/A,"Data Privacy,Negotiation,Government Procurement,Organization Skills,,,,,,",,",,",,
Hyperion Essbase/ Essbase Studio,Net2Source Inc.,"Sunnyvale, California","Shell Scripting,MaxL,Essbase,Hyperion,",,",",,
"Director Of Research: up to $200,000 base + Equity",Stealth Startup,"San Francisco, California, United States","Research and Development (R&D),Collaboration Solutions,Automation,Communication,,,,,,",,",,",,
Art Director,Column Five,N/A,"Art Direction,Data Visualization,Video,Content Marketing,,,,,,",N/A,,,N/A
Executive Assistant to the CEO/Healthcare,Stealth,"South San Francisco, California, United States","Teleconferencing,Data Mining,Start-ups,Google Suite,,",N/A,,,N/A
Human Resources Specialist,Merchant Maverick,Greater Los Angeles Area,"Human Resources (HR),Business Acumen,Office Equipment,Policies & Procedures,,,,,,,",N/A,,,N/A
Regional CEO - Business Owner,WSI Internet Consulting,"Denver, Colorado","Ad Serving,Business,Revenue Streams,Entrepreneurship,,,,,,",,",,,,,",,
Associate General Counsel,Wiland,"Niwot, Colorado, United States","Corporate Law,Organization Skills,Legal Compliance,Contract Negotiation,,,,",N/A,,,N/A
"Vice President, Renewable Energy Investments (Tax Equity Investments)",Foss & Company,"Denver, Colorado, United States","Commercial Lending,Renewable Energy,Underwriting,Tax Credits,,,",N/A,,,N/A
"Executive Director, Client Experience",Monigle,N/A,"Business,Client Services,Advertising,New Business Opportunities,,,,,,",,",,,,",,
Telecommunications System Engineer,Modis,"Aurora, Colorado","Analytical Skills,Cellular Communications,Technical Support,Computer Science,,,,,,,",,",,,",,
Senior SQL Developer,"Pioneer Data Systems, Inc.","Groton, Connecticut","SQL,Tableau,Optimization,Crystal Reports,,,",N/A,,,N/A
UX Designer,UST Global,"Farmington, Connecticut","Wireframing,Design Principles,Lean UX,User Experience (UX),,,,,,",,",",,
"Director, Executive Communications",Otis Elevator Co.,"Hartford, Connecticut Area","Influence Without Authority,Analytical Skills,Business Acumen,Messaging,,,,,,",,",,,",,
VP Distinguished Advisor,Gartner,N/A,"Helping Clients,Business Development,Business Insights,Leadership,",,",,,,,",,
General Manager,GAT Airline Ground Support,"Hartford, Connecticut","Budgeting,U.S. Equal Employment Opportunity Commission (EEOC),Analytical Skills,,,,,,,",N/A,,,N/A
Vice President Of Software Engineering,Arccos Golf,N/A,"Mobile Application Development,iOS,Scalability,Product Vision,,,,,,",,",,",,
Hadoop Developer,Net2Source Inc.,"Hartford, Connecticut Area","Hive,SQL,NoSQL,Java,,,,,",,",",,
Beauty Services Franchising COO/President,"Auctus Search Partners, LLC.","Stamford, Connecticut","Multi-Unit Operations,Negotiation,Local Marketing,Data Visualization,,,,,,",N/A,,,N/A
Java Software Engineer Only W2,ACS Group (American CyberSystems),"Wilmington, Delaware","Unit Testing,SQL,Java,Spring Boot,,,,,,",N/A,,,N/A
Vice President Of Sales - Refrigeration,W3Global,"Federalsburg, Maryland","Refrigeration,Sales,Team Leadership,",,",",,
Head of Analytics Innovation,Citi,"Wilmington, Delaware","Database Marketing,Negotiation,Budgeting,Analytical Skills,,,,,,,",,",,,,,",,
Senior Marine Claims Director,Chubb,"Wilmington, Delaware",Bachelor's Degree,,",,,",,
Med Tech/Test Technician,HCL Technologies,"Newark, Delaware","Laboratory Medicine,Chemistry,Medical Technology,Sales & Marketing,,,,,,,",,",",,
Strategic Credit Risk VP,Barclays,"Wilmington, Delaware","Credit Risk,Bachelor's Degree",N/A,,,N/A
Hadoop Developer,Net2Source Inc.,"Tampa/St. Petersburg, Florida Area","Reporting & Analysis,Analytical Skills,NoSQL,Data Architecture,,,,,,",,",",,
Executive Medical Director – Revenue Cycle,AdventHealth Central Florida,"Maitland, Florida","Revenue Cycle,Utilization Management,Organization Skills,Written Communication,,,,,,,",,",",,
Android Developer,Xunison Ltd Ireland,"Tbilisi, K'alak'i T'bilisi, Georgia","Retrofit,Scrum,Kotlin,Java,,,,",N/A,,,N/A
Chief Operating Officer - $400k/year USD - JobID #3104,Crossover for Work,"Tbilisi, GE","Integration,Management,Business Process Improvement,Cross-functional Team Leadership,,,,,",,",,,,,",,
