Job Title,Company Name,Company Location,Skills,Seniority Level,Industry,Employment Type,Job Functions
Sales Assistant,Raven,<function parseCompanyLocation at 0x7f29f8a87e18>,"Face to Face Sales,Customer Base,Customer Service,Coaching,Employee Benefits Design,Sales,Service Standards,Sales Acquisition,Retail Sales,Microsoft Outlook",Mid-Senior level,"ManagementManagement,","Full-timeFull-time,",Customer Service Sales Management
Accounting and Operations Specialist,"Manning Personnel Group, Inc.",<function parseCompanyLocation at 0x7f29f8a87e18>,"NetSuite,Organization Skills,Written Communication,High Level Of Accuracy,Payroll,Accounting,Contract Requirements,Problem Solving,Expense Reports,Benefits Administration,Bachelor's Degree",Mid-Senior level,"Accounting/AuditingAccounting/Auditing,","Full-timeFull-time,",Accounting/Auditing
Rookie Management Trainee,Raven,<function parseCompanyLocation at 0x7f29f8a87e18>,"Management,Customer Service,Development of Sales,Sales,Time Management,Customer Satisfaction,Decision-Making,Leadership,Persistence,Interpersonal Skills",Mid-Senior level,"ManagementManagement,","Full-timeFull-time,",Customer Service Sales Management
Customer Service Associate,Raven,<function parseCompanyLocation at 0x7f29f8a87e18>,"Customer Service,Fit,Sales,Marketing Campaigns,Customer Satisfaction,Marketing,Customer Experience,Campaigns,Key Performance Indicators,Training",Mid-Senior level,"ManagementManagement,","Full-timeFull-time,",Customer Service Sales Management
Lead Teacher,Lake Shore Schools,<function parseCompanyLocation at 0x7f29f8a87e18>,Associate's Degree,N/A,"EducationEducation,","Full-timeFull-time,",Education
Junior Executive Internship | Paid Internship,Raven,<function parseCompanyLocation at 0x7f29f8a87e18>,"Business,Analytical Skills,Customer Service,Self-management,Sales,Marketing Campaigns,Communication,Leadership,Marketing,Campaigns,Secondary Education",Internship,"General BusinessGeneral Business,","Full-timeFull-time,",Management Business Development General Business
Brand Ambassador | Events,Raven,<function parseCompanyLocation at 0x7f29f8a87e18>,"English,Sales,Marketing Campaigns,Communication,Customer Relationship Management (CRM),Brand Awareness,Face-to-face Marketing,Marketing,Authorization,Campaigns,Secondary Education",Entry level,"AdvertisingAdvertising,","Full-timeFull-time,",Management Marketing Advertising
Event Marketing Associate,Raven,<function parseCompanyLocation at 0x7f29f8a87e18>,"Special Events,Customer Acquisition,Sales,Brand Ambassadorship,Problem Solving,Leadership,Lead Generation,Marketing,Campaigns,Interpersonal Skills,Bachelor's Degree",Associate,"Public RelationsPublic Relations,","Full-timeFull-time,",Marketing Public Relations
Member Services & Experience Manager,ChartSpan Medical Technologies,<function parseCompanyLocation at 0x7f29f8a87e18>,"Microsoft Excel,Microsoft PowerPoint,Start-ups,Leadership,Medicare,Service Improvement,Measurements,Relationship Building,Project Management,Interpersonal Skills,Bachelor's Degree",Mid-Senior level,"Project ManagementProject Management,","Full-timeFull-time,",Project Management
Quality Analyst,"Hire Road, Inc.",<function parseCompanyLocation at 0x7f29f8a87e18>,"Quality Control,Warranty,Microsoft Excel,System Development,Computer Literacy,Cross-cultural Communication Skills,Business Process Improvement,Cross-cultural Teams,Document Creation,Customer Experience,Bachelor's Degree",Entry level,"ManufacturingManufacturing,","Full-timeFull-time,",Engineering Quality Assurance Manufacturing
Shipping and Receiving Clerk,"Reliance One, Inc.",<function parseCompanyLocation at 0x7f29f8a87e18>,"Commercial Products,Warranty,Shipping & Receiving,RMA,Work Orders,International Shipping,GED,Education,Leave of Absence,NAFTA,Secondary Education",Entry level,"Strategy/PlanningStrategy/Planning,","Full-timeFull-time,",General Business Manufacturing Strategy/Planning
Enablement Manager | Utilities Global Business Unit,Oracle,<function parseCompanyLocation at 0x7f29f8a87e18>,"Build Strong Relationships,Organization Skills,Analytical Skills,Enablement,Learning Management,Sales Enablement,Program Management,Skilled Multi-tasker,Strategic Initiatives,Utilities,Bachelor's Degree",Mid-Senior level,"Information TechnologyInformation Technology,","Full-timeFull-time,",Engineering Information Technology
